epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.4384,0.83455,2.3884,0.00183,0.62352,0.66096,0.65005,0.48894,0.77963,1.19521,0.00353,0.000465508,0.000465508,0.000465508
2,107.116,0.87369,1.12428,0.00195,0.66442,0.74685,0.76665,0.59059,0.79761,0.79519,0.00394,0.000930186,0.000930186,0.000930186
3,151.604,0.978,1.00683,0.00233,0.75166,0.62164,0.7283,0.54592,0.77419,0.91787,0.00377,0.00138307,0.00138307,0.00138307
4,191.713,0.89245,0.81226,0.00207,0.7446,0.72943,0.78259,0.60821,0.72716,0.6863,0.00344,0.00137595,0.00137595,0.00137595
5,232.982,0.85938,0.74412,0.00195,0.71605,0.74577,0.76417,0.61097,0.73647,0.71866,0.00376,0.00135826,0.00135826,0.00135826
6,279.852,0.86407,0.70176,0.002,0.78879,0.76031,0.8142,0.63796,0.70724,0.65378,0.00359,0.00134058,0.00134058,0.00134058
7,322.898,0.85128,0.65833,0.00215,0.80083,0.72433,0.8073,0.64166,0.79432,0.626,0.00405,0.0013229,0.0013229,0.0013229
8,371.296,0.82139,0.64136,0.00184,0.79067,0.7719,0.83982,0.67707,0.71145,0.62562,0.00342,0.00130521,0.00130521,0.00130521
9,418.356,0.77124,0.62588,0.00185,0.7975,0.75731,0.83165,0.67005,0.70935,0.61851,0.00347,0.00128753,0.00128753,0.00128753
10,464.562,0.74358,0.58258,0.00171,0.70771,0.84561,0.84209,0.67467,0.76198,0.59677,0.00373,0.00126985,0.00126985,0.00126985
11,508.681,0.74458,0.58313,0.00173,0.81247,0.77515,0.84602,0.68009,0.72,0.585,0.00362,0.00125216,0.00125216,0.00125216
12,556.778,0.77669,0.6033,0.00182,0.76556,0.78534,0.82441,0.68013,0.67435,0.58526,0.00334,0.00123448,0.00123448,0.00123448
13,608.523,0.78462,0.5758,0.00176,0.77079,0.80054,0.81992,0.65617,0.70629,0.58002,0.00352,0.00121679,0.00121679,0.00121679
14,654.199,0.76464,0.55501,0.00171,0.81081,0.73028,0.82715,0.6584,0.71516,0.56423,0.00358,0.00119911,0.00119911,0.00119911
15,701.256,0.73534,0.53398,0.00174,0.84083,0.72775,0.82168,0.65174,0.65241,0.51115,0.00332,0.00118143,0.00118143,0.00118143
16,748.954,0.72281,0.50578,0.00161,0.75879,0.82725,0.8398,0.68707,0.71944,0.57171,0.00355,0.00116374,0.00116374,0.00116374
17,798.382,0.72465,0.53287,0.00168,0.82307,0.75569,0.82234,0.68309,0.65386,0.54605,0.00321,0.00114606,0.00114606,0.00114606
18,846.495,0.6933,0.52092,0.00158,0.83482,0.78463,0.8469,0.69643,0.64718,0.52216,0.00315,0.00112837,0.00112837,0.00112837
19,896.792,0.70303,0.4836,0.00164,0.84219,0.77441,0.85331,0.69804,0.65844,0.54057,0.00318,0.00111069,0.00111069,0.00111069
20,948.146,0.66954,0.4766,0.00142,0.7792,0.85531,0.85291,0.69944,0.69077,0.50602,0.00336,0.00109301,0.00109301,0.00109301
21,999.587,0.67879,0.47811,0.00155,0.77968,0.835,0.83388,0.68963,0.63748,0.53688,0.00325,0.00107532,0.00107532,0.00107532
22,1043.21,0.65043,0.46614,0.00147,0.7946,0.84281,0.85008,0.70722,0.61812,0.51,0.00305,0.00105764,0.00105764,0.00105764
23,1095.72,0.67219,0.47638,0.00154,0.81455,0.8247,0.84861,0.69649,0.63487,0.54218,0.00311,0.00103995,0.00103995,0.00103995
24,1138.82,0.67317,0.46527,0.00154,0.76002,0.79954,0.84692,0.70699,0.61569,0.51591,0.00311,0.00102227,0.00102227,0.00102227
25,1186.76,0.63598,0.45123,0.00142,0.86085,0.75502,0.84887,0.70289,0.60557,0.51835,0.00298,0.00100459,0.00100459,0.00100459
26,1234.19,0.64445,0.46538,0.00137,0.80293,0.81337,0.84951,0.70807,0.60023,0.53154,0.00293,0.000986903,0.000986903,0.000986903
27,1282.56,0.62139,0.4453,0.00144,0.77485,0.82801,0.85163,0.70383,0.59894,0.53612,0.00295,0.000969219,0.000969219,0.000969219
28,1329.95,0.63989,0.46224,0.0015,0.82172,0.76552,0.85595,0.71348,0.63298,0.48486,0.00336,0.000951535,0.000951535,0.000951535
29,1377.68,0.61216,0.42697,0.00139,0.7903,0.82021,0.85239,0.71603,0.60483,0.53532,0.00296,0.000933851,0.000933851,0.000933851
30,1426.68,0.62109,0.43214,0.00144,0.8096,0.77918,0.83297,0.70291,0.59998,0.52441,0.00297,0.000916168,0.000916168,0.000916168
